Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
Sejong University ,KR,396,436,29.7,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9,0.4068195708788973,0.9261612476758683
Université de Liège,BE,396,421,29.7,17.0,11.8,9.6,38.0,50.3,53.0,94.6,23.6,81.2,1.540872320125439,1.3280193501158357
University of Southern Queensland ,AU,396,410,29.7,8.8,5.7,4.8,73.1,84.1,23.0,81.0,8.6,43.0,0.8303846142006668,1.9339001795535915
Kazan (Volga region) Federal University,RU,401,396,29.6,23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4,22.2,0.9399104192233689,0.568113558771493
Koç University,TR,401,431,29.6,24.3,54.6,19.1,32.4,24.7,13.0,51.6,6.8,34.8,0.447326271368847,-0.5150386646220757
Amirkabir University of Technology,IR,403,375,29.5,5.2,20.5,4.6,100.0,24.6,2.8,70.2,5.8,1.6,-0.13694085460638994,0.5586795068834876
University of Canberra ,AU,403,421,29.5,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,70.9,1.2302242647122597,2.4969437087377515
Institut National des Sciences Appliquées de Lyon (INSA),FR,405,392,29.3,7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,2.4,0.36086877330148925,0.9030781887737838
Satbayev University,KZ,405,481,29.3,27.8,43.4,88.1,1.2,66.7,16.9,15.0,23.6,3.8,0.24718209339541716,-0.6060965241814239
USI - Università della Svizzera italiana,CH,405,328,29.3,6.1,4.6,73.5,40.7,100.0,100.0,39.3,2.1,1.1,0.6376929767766312,2.9101921523242873
"Birkbeck, University of London",UK,408,374,29.1,10.0,3.6,15.6,57.1,97.7,99.5,55.5,8.8,7.7,0.8296819213793867,3.285958847385591
Masaryk University,CZ,408,400,29.1,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36.0,79.1,1.6006449733597412,0.4929563965748029
HSE University,RU,410,399,29,24.0,38.4,84.8,1.8,6.6,13.5,83.6,13.0,44.6,0.6841312197162458,-1.2314577525312065
The American University in Cairo,EG,410,415,29,32.1,31.1,35.5,5.2,97.0,3.8,29.4,75.6,14.6,0.9316961168240907,-0.4449868988254993
Auckland University of Technology (AUT),NZ,412,407,28.9,19.3,11.2,10.6,21.7,100.0,99.8,52.6,12.4,72.6,1.5750214451701978,2.926095528417303
Graz University of Technology,AT,413,421,28.8,14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9,2.8,0.646384121441722,1.1830459300016622
Yeshiva University,US,413,369,28.8,3.1,2.8,65.3,91.6,31.4,13.5,6.6,3.0,15.8,-0.5825186575576938,0.5923984774740116
Concordia University,CA,415,387,28.7,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,89.8,2.080327794665365,2.299564049464438
Oxford Brookes University,UK,416,413,28.6,30.7,37.6,13.7,7.0,67.5,67.4,68.4,20.5,13.2,0.9859902693256719,1.0590784915768303
Technion - Israel Institute of Technology,IL,416,392,28.6,23.9,24.8,52.0,20.1,74.2,4.3,59.1,35.3,15.0,0.59494029444773,-0.07856980322297291
 University of Dundee,UK,418,441,28.5,18.4,13.7,30.8,14.0,91.1,89.4,75.2,7.4,55.4,1.4430107839780204,2.473299534968075
Bo?aziçi University,TR,418,514,28.5,24.9,65.3,4.1,10.7,10.7,2.6,46.8,84.9,46.2,1.1186242327355207,-2.123674393880836
Czech Technical University in Prague,CZ,420,454,28.4,22.0,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8,0.43243622241028834,-0.45726904888607944
Dublin City University,IE,421,436,28.3,20.1,26.0,25.8,10.7,75.0,22.6,75.4,35.3,82.5,1.5069115852999293,0.4983352929136421
University of Limerick,IE,421,426,28.3,18.3,25.5,15.7,23.0,87.1,30.8,72.5,8.0,76.4,1.2764276082950035,1.3620510206801073
Aston University,UK,423,446,28.1,12.5,18.5,9.0,34.4,94.2,53.8,79.2,19.6,46.9,1.263925247826253,2.0181115368665914
Université Laval,CA,423,441,28.1,19.2,8.1,26.0,23.8,55.8,41.6,80.2,36.4,78.4,1.3714693699909837,0.852030325941093
National Taipei University of Technology,TW,425,431,28,13.9,54.7,24.3,41.6,19.8,20.6,21.3,22.5,31.3,0.21264302708445768,-0.5768944383690889
IPB University (a.k.a. Bogor Agricultural University),ID,426,489,27.9,23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9,35.1,0.44525544643803827,-1.0437051130231434
Leibniz University Hannover,DE,426,481,27.9,21.2,32.0,17.9,17.4,46.3,26.9,78.5,14.5,82.1,1.200153094345298,0.3639230002403303
Julius-Maximilians-Universität Würzburg,DE,428,440,27.8,15.8,7.0,5.5,74.4,45.0,9.5,78.5,8.7,8.8,0.051272374775517784,0.9097975014081856
Central South University,CN,431,452,27.6,8.6,4.1,5.5,99.7,6.4,4.0,67.5,14.1,3.9,-0.38510812701794306,0.3544422160923525
University of Science and Technology Beijing,CN,430,436,27.7,11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9,3.6,-0.5782423793401958,0.30019980121720563
University of Electronic Science and Technology of China,CN,451,486,26.5,5.3,5.0,8.2,99.1,3.2,2.5,73.3,7.2,2.3,-0.5031722241663242,0.3792241759222226
Tomsk State University,RU,431,418,27.6,22.0,13.5,99.0,4.2,21.6,91.6,64.1,4.4,1.4,0.370132869378032,0.7462177695903226
University of Granada,ES,431,403,27.6,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,26.3,0.23358964332897722,-0.3453036709546646
University of Sharjah,AE,434,465,27.5,18.1,17.3,6.0,22.0,100.0,100.0,84.8,11.2,11.8,1.2057262710426315,2.9234624601582846
IE University,ES,435,428,27.4,8.1,49.3,46.5,2.2,95.2,100.0,3.5,65.6,4.6,1.1639755421991422,1.242218186452139
Iran University of Science and Technology,IR,436,451,27.2,7.8,14.0,2.7,98.7,12.0,1.5,53.4,5.3,1.6,-0.5440653901386816,0.37051682542697517
Murdoch University,AU,436,431,27.2,8.0,4.5,5.2,57.3,85.6,73.9,74.9,14.8,11.3,0.7307750068370975,2.680324996869985
Universitat Politècnica de València,ES,436,476,27.2,26.5,16.3,36.1,19.7,5.5,25.0,84.9,11.7,76.1,0.7641341114960036,-0.2616160433587375
Vilnius University ,LT,439,473,27.1,19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7,27.1,0.9103976743062838,-1.71276553077534
Singapore University of Technology and Design,SG,440,429,27,7.4,5.3,99.0,66.0,27.593693862485726,23.359063138818783,31.2,4.6,1.1,-0.3479414265138282,0.236581863971322
Università degli Studi di Pavia,IT,440,469,27,21.7,7.4,8.3,64.6,6.2,12.6,82.7,13.5,15.4,-0.051734411777050134,0.11090176972707855
Colorado State University,US,442,409,26.8,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9,0.7076555301692864,-0.7216479644307568
Novosibirsk State University,RU,442,421,26.8,24.7,18.4,91.0,9.5,6.3,57.0,56.5,5.8,5.3,0.013620599868495025,-0.1669846949923932
Università Cattolica del Sacro Cuore,IT,442,505,26.8,24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3,54.8,0.5849977116798627,-0.928977801477082
James Cook University,AU,445,415,26.7,14.4,6.5,17.5,46.9,36.7,16.0,76.0,6.7,88.9,0.7539876909285268,0.7429613439284908
Justus-Liebig-University Giessen,DE,445,396,26.7,12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5,11.0,-0.07361011644255931,0.6579689817579275
Universitat de Valencia,ES,445,485,26.7,35.6,11.0,12.0,19.9,2.1,24.3,89.3,8.4,79.3,0.712703729705209,-0.14093235691763262
Southern University of Science and Technology,CN,284,301,37.3,9.3,2.5,89.7,98.8,37.5,1.4,48.3,1.6,31.6,0.36528765445468947,0.37415371120931995
South China University of Technology,CN,385,392,30.4,12.1,6.6,20.0,97.8,10.7,4.6,51.3,27.3,7.3,-0.1454134668702041,0.042362093012079695
Université de Montpellier,FR,448,382,26.6,18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1,17.3,0.27829775793228434,0.7840129787272265
Hunan University ,CN,448,494,26.6,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,-0.5204501448949632,-0.07302551785651969
Nanjing University of Science and Technology,CN,565,600,22,5.7,2.5,8.9,89.3,20.353830399145615,27.653913943492068,38.7,3.7,2.3,-0.6807634891120153,1.0631690283804558
National Taiwan Normal University,TW,452,431,26.4,34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3,49.8,0.1079113980351346,-0.749132970218968
University of Kansas,US,452,410,26.4,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4,0.6581083379322344,-0.12277988308842211
University of Stirling,UK,452,431,26.4,11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8,76.1,1.2820953966261803,2.376643368847656
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),RU,456,415,26.3,16.6,23.6,94.6,12.0,31.1,45.5,41.7,17.6,1.0,0.029221583351993537,-0.123830897315136
Umea University,SE,456,465,26.3,19.9,11.6,71.8,15.2,51.1,21.8,78.0,9.0,26.3,0.38169720859059525,0.30076561332522106
Université de Strasbourg,FR,456,421,26.3,39.1,10.3,5.1,20.7,34.2,35.9,90.7,20.4,5.4,0.354806772584424,0.41695807986602024
University of Guelph,CA,456,486,26.3,12.8,12.8,5.0,50.1,46.4,14.3,65.2,11.2,82.9,0.7048974939913218,0.8295073814548336
"Stony Brook University, State University of New York",US,460,396,26.2,18.0,7.3,32.2,23.6,34.7,43.5,76.0,21.2,79.1,0.9744027577525686,0.7048072070819998
Universidad de Santiago de Chile (USACH),CL,461,410,26.1,43.4,55.0,7.2,4.2,6.3,2.2,51.1,12.7,11.2,-0.07279164116483035,-1.4285088351491244
Tampere University,FI,462,436,26,21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8,23.0,0.431646660410306,0.03207163057086016
Universidad de Sevilla,ES,462,494,26,39.1,12.6,18.4,8.2,3.5,18.9,91.4,16.0,67.4,0.6451536113910469,-0.49614318010762154
Macau University of Science and Technology,MO,464,505,25.9,4.4,3.4,3.9,56.4,100.0,100.0,26.2,29.5,11.3,0.6274245160818829,3.1695396647618566
Kobe University,JP,465,476,25.8,28.4,33.2,43.9,11.4,7.0,5.6,55.0,15.0,49.8,0.21654708954208915,-1.068032469358256
Universität Konstanz,DE,466,478,25.7,18.3,10.5,37.8,18.3,85.9,14.5,66.1,13.1,63.1,0.78125009011154,1.001277313175889
Universitat Ramon Llull,ES,466,621-630,25.7,11.0,52.0,8.7,8.1,93.6,43.1,32.6,71.7,20.1,1.1334357309063887,0.4244638312475374
University at Buffalo SUNY,US,466,491,25.7,18.0,10.7,8.8,33.6,20.1,36.9,68.6,33.3,82.5,0.896911327856805,0.3532861923024236
Washington State University,US,466,419,25.7,23.3,20.0,15.5,33.5,47.1,5.0,77.3,8.6,29.6,0.2489192826228613,0.2878473806943234
Iowa State University,US,470,400,25.6,20.7,12.0,9.1,47.9,7.5,12.5,77.3,32.9,31.3,0.2173617776931642,-0.2748914002040418
Ben-Gurion University of The Negev,IL,471,469,25.5,14.4,14.5,11.1,51.7,64.0,14.3,64.9,16.3,11.8,0.12962479302753452,0.9288626873678014
"Essex, University of",UK,472,459,25.3,15.5,5.2,12.7,22.6,99.8,98.6,75.1,14.0,13.2,0.9397441875010053,3.0079484200625237
Johannes Kepler University Linz,AT,472,446,25.3,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,13.2,0.34452644870795424,1.009633025964083
Bangor University,UK,474,481,25.2,8.6,5.8,12.1,43.0,40.7,52.3,75.0,8.1,82.9,0.8708006096038752,1.5274350320501564
Hiroshima University,JP,474,472,25.2,24.1,12.3,75.9,8.9,13.2,12.9,70.1,6.9,50.8,0.1956067727602632,-0.5877334464900569
Universität Potsdam,DE,474,460,25.2,15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3,67.1,0.6642696884737022,1.1326796429777906
Ajman University,AE,477,551,25.1,17.3,42.2,9.6,3.2,100.0,100.0,48.4,9.8,1.4,0.8374221637982824,2.382158192640033
Bilkent University,TR,477,502,25.1,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,0.11718622710744205,-0.28494756887700284
Indian Institute of Technology Indore (IIT Indore),IN,477,454,25.1,6.1,5.0,27.1,95.6,2.1,1.1,23.6,2.2,4.2,-1.0385117514682143,0.14651624360855653
Royal Holloway University of London,UK,477,413,25.1,14.9,5.7,13.0,27.2,94.1,86.9,73.2,7.2,19.7,0.8018730201566407,2.819652940972701
Aix-Marseille University,FR,481,387,25,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5,0.25056616777379204,-0.008997296175051133
Pontificia Universidad Católica Argentina,AR,481,514,25,19.9,29.4,99.9,1.1,1.9,6.7,12.5,85.7,1.0,-0.04050500568103521,-2.456759257530633
"The University of Tennessee, Knoxville",US,481,446,25,10.1,8.2,9.5,76.3,4.9,2.4,77.3,11.0,15.0,-0.3298049978451521,0.12527012622411152
China Agricultural University ,CN,484,534,24.9,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,5.8,-0.7666702270359791,0.22090787678780474
American University of Ras Al Khaimah ( AURAK ),AE,485,,24.8,4.6,3.3,35.5,46.8,100.0,100.0,15.4,4.1,1.1,0.16227751670809973,3.1885290122871455
National Sun Yat-sen University,TW,485,505,24.8,26.5,24.9,32.0,22.1,22.7,10.8,35.6,11.4,48.9,0.0023103673678369642,-0.4109680400980221
Universität Mannheim,DE,487,454,24.7,15.3,53.9,3.0,31.0,42.4,22.7,27.9,34.9,1.5,0.05055830995612204,-0.2443124970851733
University of Hawai?i at M?noa,US,488,386,24.6,15.2,6.6,29.7,41.7,41.7,12.0,82.9,7.9,30.1,0.14360476093440155,0.5842158008571292
Dalian University of Technology,CN,448,491,26.6,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,-0.45717650578684377,0.23279952516022623
Chung-Ang University (CAU),KR,489,494,24.5,16.0,31.9,67.8,9.3,14.2,37.8,29.9,13.5,49.5,0.15560349002974838,-0.41306215347197067
Isfahan University of Technology,IR,489,,24.5,4.9,15.7,5.1,92.2,2.3,1.4,43.5,5.6,1.1,-0.8316717982631855,0.1428584958356068
Southeast University,CN,428,454,27.8,13.5,6.6,20.8,82.0,14.4,3.4,69.2,5.0,11.6,-0.2728770256584405,0.293147047688154
UNESP,BR,489,419,24.5,41.1,25.8,13.0,16.2,5.9,2.7,70.9,1.5,14.5,-0.27833168929102,-0.7605047925476618
University of Jyväskylä,FI,489,446,24.5,16.2,11.4,87.7,12.1,44.0,2.6,81.2,10.4,16.3,0.05559173048530318,-0.2579618836822365
Central Queensland University (CQUniversity Australia),AU,495,590,24.4,9.0,6.7,29.4,20.9,97.1,97.8,44.0,3.1,49.8,0.8731555604255529,2.9889683442677644
Duy Tan University,VN,495,514,24.4,11.9,25.3,3.9,49.0,37.7,1.4,83.5,4.4,29.0,0.10486185039102418,0.3720332495062927
Chongqing University,CN,489,561,24.5,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,-0.5270742003424284,0.4153394975440838
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),RU,497,461,24.2,9.2,11.8,98.9,8.1,45.8,89.5,32.9,14.6,1.1,0.10712638897029057,1.1347572896230869
Universidad de Costa Rica,CR,497,544,24.2,35.4,24.3,32.3,1.6,2.4,2.0,45.5,81.6,16.9,0.23664716047828468,-2.040230548331139
"University of California, Riverside",US,497,404,24.2,16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,21.3,-0.026651801978945906,0.8618580637207122
Abu Dhabi University,AE,501,580,24.1,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,0.44884968775586603,2.674233631813311
Colorado School of Mines,US,501,465,24.1,6.8,12.5,15.8,72.0,29.7,7.4,30.9,17.7,18.0,-0.47017487041909245,0.36790218368178335
Zhengzhou University,CN,511,621-630,23.8,5.4,22.0,4.9,80.3,8.392369381389045,2.4,56.3,5.7,2.4,-0.6210688475219388,0.11976081593675496
Johannes Gutenberg Universität Mainz,DE,501,464,24.1,22.3,11.4,57.8,11.5,42.0,15.5,87.0,11.4,16.3,0.1572250383993855,0.06875895992213892
University of Huddersfield,UK,501,567,24.1,12.7,12.4,7.5,19.4,63.7,85.6,73.0,1.3,72.3,1.0558629768411187,2.3263131363230216
University of Delaware,US,506,498,24,9.4,7.9,6.6,53.9,30.0,12.6,66.5,16.9,65.3,0.30934159809147044,0.5680944795559094
University of Trento,IT,506,429,24,24.9,10.5,22.0,32.7,29.6,6.1,85.8,4.4,19.0,-0.07637886684698217,0.14551414374373808
Aristotle University of Thessaloniki,GR,508,530,23.9,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3,0.4571713952351815,-1.0071387768027562
China University of Petroleum,CN,631-640,711-720,-,3.4,1.7,8.6,79.7,1.7,2.8,24.1,21.1,1.5,-1.213945738004153,0.050047414302131686
SOAS University of London ,UK,508,511,23.9,17.1,9.4,14.8,15.1,100.0,98.7,16.9,22.4,39.1,0.7345853930086194,2.677415245055818
Ewha Womans University,KR,511,498,23.8,22.1,21.2,76.3,6.9,7.0,24.4,31.3,23.0,34.2,-0.12811458871994988,-0.8962218703524132
Beihang University (former BUAA),CN,452,473,26.4,12.1,7.8,41.5,72.1,7.0,4.5,51.2,12.8,4.3,-0.5165530793487962,-0.15435145756072433
Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),SA,513,595,23.7,10.5,11.4,89.5,2.6,98.2,19.7,68.3,2.4,18.4,0.29591304197398555,1.0344634314148773
Prince Mohammad Bin Fahd university,SA,513,590,23.7,20.3,23.0,23.1,27.8,100.0,18.8,23.3,2.8,1.2,-0.21431744124389943,1.2793664316023563
University of Milano-Bicocca ,IT,513,481,23.7,20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5,14.8,-0.3192233401929867,-0.1163044491361259
Ateneo de Manila University,PH,516,563,23.6,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6,0.1628428403010905,-2.2741497096551355
Edith Cowan University ,AU,516,529,23.6,8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7,5.8,0.16078644719302068,2.3046920973720395
INTI International University,MY,516,556,23.6,7.7,19.9,89.1,1.7,95.4,92.9,7.0,4.4,1.1,0.13745612784019465,2.0417777190749784
Kyungpook National University,KR,516,520,23.6,11.1,16.7,66.9,20.5,11.1,25.7,52.0,10.6,60.6,0.1546373407186647,-0.23875627374835
Sabanci University,TR,516,526,23.6,19.5,44.6,38.2,19.4,32.0,14.2,25.9,7.2,7.9,-0.3750003669484061,-0.445662429569706
University of Hull,UK,516,523,23.6,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,68.0,1.1075644699079608,2.1296303031245545
Ural Federal University - UrFU,RU,516,473,23.6,19.6,14.2,95.5,2.1,5.4,25.3,86.6,1.9,12.7,-0.11635186692000597,-0.5804421774667222
Canadian University Dubai,AE,523,551,23.5,20.1,19.9,33.5,2.7,100.0,100.0,14.0,17.4,1.6,0.38223562695741925,2.3376593189967827
Pusan National University,KR,524,611-620,23.4,18.7,16.5,43.5,19.5,10.5,13.7,57.7,13.8,65.0,0.17485515463073378,-0.4194196435509228
Universidad Austral,AR,524,520,23.4,20.9,36.2,79.7,1.9,2.7,7.5,10.2,65.9,1.3,-0.28374192689719013,-2.1387473139850606
Universität Jena,DE,526,461,23.3,17.2,5.7,99.9,8.8,39.35435125059699,20.2,94.7,3.9,13.1,0.18718207367619163,0.04551844313118731
Missouri University of Science and Technology,US,527,480,23.2,4.0,6.1,5.7,86.2,35.2,12.8,30.5,4.8,1.7,-0.8044534306878008,0.9933552655276547
Universität Leipzig,DE,527,479,23.2,23.5,9.7,74.8,8.4,52.44198737107718,14.2,84.3,10.5,21.3,0.3317637692112991,0.09921724904260618
University of Bayreuth,DE,527,509,23.2,10.2,15.7,50.3,25.8,54.8,21.2,75.1,9.0,11.3,0.045739052179533904,0.6155026467977315
Warsaw University of Technology,PL,527,571,23.2,23.3,51.9,42.6,4.7,2.4,10.3,60.6,9.8,1.4,-0.27609552760079775,-1.2540422849903046
Coventry University,UK,531,571,23.1,9.7,9.5,16.9,7.1,77.0,99.9,82.6,10.0,64.4,1.2557332518677549,2.6425684155251745
Indian Institute of Technology (BHU) Varanasi,IN,531,571,23.1,5.5,5.9,3.9,95.0,1.4,1.1,24.5,6.5,10.1,-1.0573745497888976,0.2432217673682393
University of Utah,US,531,441,23.1,15.7,6.3,50.0,30.5,15.5,10.3,80.5,17.4,24.5,-0.08051274684808546,-0.22560766944796207
Universidad Nacional de La Plata (UNLP),AR,534,540,23,40.8,19.2,28.4,1.9,5.3,22.6,55.4,27.3,2.2,-0.27915637601429594,-0.8812364014005805
Lahore University of Management Sciences (LUMS),PK,535,540,22.9,17.2,73.2,27.1,7.4,12.2,1.8,19.5,37.0,1.1,-0.2588771254044119,-1.7739495427394565
Northumbria University at Newcastle,UK,535,548,22.9,10.9,10.8,11.8,15.8,70.7,56.2,78.4,14.0,75.3,1.024305851320129,1.7659324425618774
University of Bordeaux,FR,535,465,22.9,31.3,5.5,11.5,17.6,27.1,23.3,92.9,16.7,20.1,0.12327097881549921,0.24346469002101503
University of Eastern Finland,FI,535,548,22.9,13.8,7.6,43.7,18.4,37.4,5.2,86.4,4.2,78.6,0.48231593550385626,0.2485110626017262
Applied Science University - Bahrain,BH,539,582,22.8,23.5,25.0,39.3,2.0,100.0,46.8,13.3,11.3,1.7,-0.033806791482732884,1.312434099141282
Hitotsubashi University,JP,539,481,22.8,14.4,73.0,30.8,2.1,19.8,20.0,7.5,51.9,1.1,-0.060580757514079896,-1.558741172382143
Sunway University,MY,539,586,22.8,13.0,39.2,44.0,10.3,35.9,33.2,51.1,3.9,27.3,0.07194224588400053,0.12371823482079852
Université de Fribourg,CH,539,563,22.8,10.3,3.0,7.5,25.4,99.9,38.3,58.3,40.6,51.8,0.8538580907067187,1.7478398165509692
University of Salamanca,ES,539,534,22.8,26.9,14.6,26.0,6.2,6.9,14.9,80.0,23.4,69.5,0.4546134982213071,-0.5653152617087911
Universidad de Zaragoza,ES,544,523,22.7,21.3,5.1,56.1,7.0,4.5,9.0,89.5,10.7,77.1,0.3722567640034189,-0.5253626063675763
Universidad Pontificia Comillas,ES,544,582,22.7,8.3,71.6,38.3,2.2,18.7,5.0,9.0,85.4,7.1,0.20224646311537545,-2.224502376833132
University of Bradford,UK,531,641-650,23.1,9.1,7.1,6.8,21.7,68.5,97.6,66.0,34.3,40.7,1.0030291828010454,2.298841521198119
East China University of Science and Technology,CN,641-650,681-690,-,6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5,2.5,-1.1500330627887971,0.060323818167283175
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),UZ,547,,22.6,30.6,19.9,79.0,2.2,26.3,4.1,8.6,15.1,9.5,-0.7146793051607513,-1.0231248043926806
University of Genoa,IT,547,530,22.6,18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5,39.5,-0.12767509887658418,0.012593595044558727
University of Iceland,IS,547,1201-1400,22.6,6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2,5.9,0.33466090428871537,-1.2592594234104055
University of Windsor,CA,547,641-650,22.6,3.9,3.9,2.2,36.2,88.7,83.8,51.1,25.8,38.5,0.7297963090794175,2.702318914374772
Al Ain University,AE,552,611-620,22.5,22.6,15.7,13.4,5.9,100.0,100.0,27.5,5.9,5.2,0.32984909877631136,2.706157924063187
University of Tabriz,IR,552,,22.5,5.9,5.0,3.4,81.7,1.5,6.8,71.8,5.3,1.2,-0.7377910765536904,0.3760925645536596
Hasselt University ,BE,554,551,22.4,5.8,3.3,82.1,15.4,74.2,25.3,69.6,2.4,26.8,0.12722580914899487,1.0458688910727947
Jordan University of Science & Technology,JO,554,731-740,22.4,21.0,30.7,18.8,5.6,38.2,67.7,55.5,4.3,24.5,0.24668155530144215,0.9498843822270453
Universiti Utara Malaysia (UUM),MY,554,538,22.4,22.0,25.4,38.8,8.2,19.4,79.3,34.1,12.3,5.3,-0.11764585786267065,0.6219676269881503
University of Dhaka,BD,554,691-700,22.4,23.0,45.6,11.2,2.9,1.6,1.0,52.0,93.7,11.8,0.3633058137783518,-2.2140228117653775
University Ulm,DE,554,542,22.4,7.4,5.5,78.5,31.2,39.6,21.0,61.1,2.9,2.1,-0.4246010197198088,0.4185297076041362
Peter the Great St. Petersburg Polytechnic University,RU,559,534,22.3,16.0,10.9,74.3,2.9,14.1,84.0,64.7,4.9,11.2,0.043355853582009586,0.773463306002951
Ulster University,UK,559,498,22.3,8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8,62.2,1.0764675117148579,2.723973949750212
Umm Al-Qura University ,SA,559,601-610,22.3,20.7,12.8,54.7,2.2,100.0,16.0,59.7,6.7,3.1,0.022571559564896343,1.0165754888266672
Université Claude Bernard Lyon 1,FR,562,452,22.2,18.1,3.7,7.9,48.3,7.4,12.0,93.7,12.4,11.0,-0.29235214724364633,0.1615434262445555
Universiti Teknologi Brunei,BN,562,525,22.2,15.4,6.3,88.5,9.9,100.0,5.8,15.9,14.7,1.4,-0.40800494137310594,0.6155582181507008
Eötvös Loránd University,HU,564,701-710,22.1,23.3,22.6,10.7,6.1,5.2,11.0,71.3,60.9,61.9,0.624505968863245,-1.130183286950729
China University of Mining and Technology,CN,681-690,781-790,-,3.5,1.6,14.1,68.5,20.821274581310018,19.81168426992831,52.4,10.1,2.8,-0.7540819716832582,0.759907254244422
University of Connecticut,US,565,444,22,14.4,8.1,18.2,29.8,27.4,19.4,88.0,23.3,37.6,0.23518885101971373,0.294863241636432
Chiang Mai University,TH,567,571,21.9,34.8,17.1,17.3,4.2,4.8,4.2,62.5,19.1,56.1,0.018545164917751284,-0.8594789882188402
Lebanese University,LB,567,577,21.9,29.0,34.4,10.1,2.2,43.8,29.5,43.7,29.9,5.8,-0.012461377088011358,-0.10875308728089843
MGIMO University,RU,567,526,21.9,9.8,25.4,100.0,1.3,11.3,41.3,5.7,60.0,1.0,-0.2661094670211788,-1.1812079617533582
"University of Chemistry and Technology, Prague",CZ,570,556,21.8,5.6,9.3,98.4,13.5,23.9,78.4,34.9,4.2,3.4,-0.32516061758834114,0.8303329634194191
University of Szeged,HU,570,601-610,21.8,18.5,16.8,37.0,4.8,11.8,41.2,73.1,15.0,61.9,0.40418684269553073,0.05929649545719707
University of the Punjab,PK,570,741-750,21.8,15.6,52.2,4.5,11.6,3.2,1.3,62.2,81.4,4.3,0.2691592736532394,-1.9141403480311923
Florida State University,US,573,461,21.6,25.6,18.1,7.2,24.8,10.0,4.2,71.9,18.4,26.8,-0.20756051197421438,-0.47392958722674083
Florida International University,US,574,556,21.5,15.3,22.5,11.8,12.6,20.3,12.9,86.7,16.6,81.2,0.5876941604843693,-0.09871034453974055
University of Debrecen,HU,574,671-680,21.5,17.9,13.9,34.0,3.9,10.6,70.0,76.7,21.4,39.5,0.4165459020762169,0.5231253399425554
National Research Tomsk Polytechnic University,RU,576,586,21.4,8.9,8.4,95.1,3.7,10.9,82.8,62.7,2.0,7.1,-0.13950348183946396,0.7115070428987523
Sogang University,KR,576,509,21.4,17.5,45.5,56.7,5.1,7.1,19.6,13.8,16.0,17.7,-0.5156014964665866,-1.0969881947344824
Southern Cross University ,AU,576,651-660,21.4,4.4,2.8,2.9,46.3,81.1,44.8,44.2,4.8,48.2,0.18007703316899917,2.2152146547451053
