Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
La Trobe University,AU,217,242,44.1,23.6,19.8,8.0,77.7,92.6,95.0,78.6,19.6,78.4,2.723172106952121,2.831829427880519
"University of Maryland, College Park",US,218,169,44,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4,1.9646441368455352,-0.789705355554472
National Yang Ming Chiao Tung University,TW,219,217,43.9,32.9,62.7,51.1,52.7,19.6,19.2,53.7,58.3,38.8,1.8745815315664462,-1.494584377263419
Universidad Nacional de Colombia,CO,219,226,43.9,71.0,89.9,5.4,3.4,5.6,1.4,65.9,42.6,53.1,2.0316580550361225,-2.640700977372802
Vrije Universiteit Amsterdam,NL,221,207,43.8,39.4,17.8,21.3,63.7,67.3,47.4,89.0,45.1,50.8,2.3154517369142256,0.8926926555158805
Eberhard Karls Universität Tübingen,DE,222,213,43.7,46.0,30.7,87.1,20.5,76.1,26.2,93.8,30.9,33.0,2.130149236000379,-0.14769385867805487
Indian Institute of Technology Kharagpur (IIT-KGP),IN,222,271,43.7,34.0,51.1,9.0,90.2,1.1,1.1,69.3,33.0,44.3,1.444991313633599,-1.0902404800689984
Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,224,229,43.6,25.8,27.7,3.2,94.9,27.2,48.8,87.1,19.6,74.5,2.0546243500090133,0.9278000357183096
Loughborough University,UK,224,212,43.6,29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2,93.8,3.050351233349288,1.2840083539653802
University of Lausanne,CH,224,220,43.6,28.4,18.8,36.8,61.0,100.0,54.2,79.8,51.8,51.2,2.539112504726077,1.452695655743754
Indian Institute of Technology Madras (IITM),IN,227,285,43.5,42.4,63.2,20.3,70.3,3.9,1.6,37.5,27.0,44.6,1.2463736154791651,-1.4926112349742444
Rheinische Friedrich-Wilhelms-Universität Bonn,DE,227,239,43.5,52.8,24.1,62.7,17.2,44.3,38.9,94.7,35.4,83.2,2.499963289428093,-0.3092224779584339
Chulalongkorn University,TH,229,211,43.4,68.2,35.9,31.7,7.5,18.7,3.0,79.6,93.6,73.2,2.507708400142003,-2.3569963878390587
Maastricht University ,NL,230,256,43,23.0,27.8,13.2,62.8,99.4,100.0,80.5,38.2,52.5,2.7406309685818426,2.547057466002762
Universite libre de Bruxelles,BE,230,189,43,33.3,34.5,3.0,49.9,98.7,84.4,87.5,65.5,25.2,2.7468243162336785,1.6720961799392378
Universidade Estadual de Campinas (Unicamp),BR,232,220,42.9,71.8,40.3,14.7,24.3,10.7,2.7,85.4,25.1,65.9,1.7769479618894772,-1.4950177176928634
University of Twente,NL,233,210,42.7,20.7,32.0,43.3,61.3,100.0,90.4,87.6,20.0,13.8,2.2185568049556,2.3522497618761053
Technische Universität Dresden,DE,234,246,42.6,36.3,42.5,80.3,28.5,35.8,27.6,93.8,8.8,75.8,2.100750044790784,-0.4347597458842706
University of Waikato,NZ,235,250,42.5,19.1,11.7,12.4,84.7,99.0,56.9,55.1,46.4,89.5,2.5067497295761756,2.06784749381712
Università di Padova,IT,236,219,42.3,58.9,27.3,8.5,45.7,9.2,11.1,94.9,18.8,87.7,1.897267390510372,-0.7377932397615413
University of Aberdeen,UK,236,208,42.3,30.5,28.8,32.7,32.0,94.5,92.6,88.5,22.2,96.5,3.032894240474147,2.1595687438415836
University of Rochester,US,236,224,42.3,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,2.4558443954934948,1.1173788349060183
Gadjah Mada University,ID,239,263,41.8,54.4,73.5,57.6,1.7,40.3,4.1,38.1,69.0,26.8,1.7841028821574567,-2.3592029872394753
Massey University,NZ,239,239,41.8,30.1,14.0,48.0,27.4,98.5,95.2,85.1,49.2,91.4,3.1261558541538474,1.998187957219873
Politecnico di Torino,IT,241,252,41.7,40.2,52.1,3.1,51.6,4.9,41.0,81.4,30.6,77.9,2.0800320523382267,-0.5177592069531716
Technical University of Darmstadt,DE,241,246,41.7,20.0,35.9,6.7,70.0,60.3,81.4,65.9,44.4,71.8,2.4689983974120526,1.480876842454264
Dartmouth College,US,243,237,41.3,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2,1.8874410912725923,-0.8879609619472366
Victoria University of Wellington,NZ,244,241,41.2,42.8,21.4,10.1,32.1,100.0,31.0,70.7,71.6,91.4,2.7984545510045327,0.6042564731530116
University of Macau,MO,245,254,41.1,11.9,10.5,9.8,99.1,100.0,99.9,57.0,50.3,7.7,1.9370004027286127,2.9521170764916524
Charles University,CZ,246,248,41,45.6,49.1,32.2,8.0,25.0,50.5,96.3,65.5,77.4,2.716813221290029,-0.923323260323351
University of Sussex,UK,246,218,41,22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9,97.7,2.911358008098263,2.5084180348264233
Vanderbilt University,US,248,261,40.8,24.4,21.8,100.0,53.0,30.1,36.0,78.6,34.7,24.5,1.4539367561266103,-0.326617251677189
University of Navarra,ES,249,280,40.7,30.6,68.0,49.6,14.7,24.8,73.8,63.6,75.8,42.3,2.4405830755584947,-0.9040244778532126
American University of Beirut (AUB),LB,250,226,40.6,28.6,29.5,48.5,28.9,63.2,37.0,73.1,97.0,80.5,2.7927579326897582,-0.46822292809623695
